,A/A,Air to air TACAN function,,1
,A/C,Aircraft,,1
,AC,Altocumulus,Cloud type,1
,ACC,Altocumulus Castellanus,Cloud type,1
,ACC,Area Control Centre,,1
,A/D,Aerodrome,,1
,A/F,Autofeather,,1
,A/FD,Airport/Facility Directory,,1
,A/P,Autopilot,,1
,AAE,Above aerodrome elevation,"In aviation, above aerodrome level (AAL), or above aerodrome elevation (AAE), denotes that an altitude is given above the nearest aerodrome or airport.",1
,AAIB,Air Accidents Investigation Branch,United Kingdom,1
,AAIM,Aircraft Autonomous Integrity Monitoring,,1
,AAO,Assumed adverse obstacle,,1
,AAS,Airport advisory service,,1
,AC,Advisory circular,Information and guidance publication,1
,ACAM,Aircraft continuous airworthiness monitoring,,1
,ACARS,Aircraft Communications Addressing and Reporting System,,1
,ACAS,Airborne collision avoidance system,,1
,ACC,Area control centre,,1
,ACC,Active clearance control,Turbine engine system,1
,ACC,Accessory,In gas turbine engine,1
,ACE,Actuator control electronics,,1
,ACFT,Aircraft,,1
,ACI,Airports Council International,,1
,ACLS,Automatic carrier landing system,Aircraft carrier operations,1
,ACM,Air cycle machine,Part of A/C air conditioning system,1
,ACMS,Aircraft condition monitoring system,,1
,ACP,Audio Control Panel,,1
,ACR,Avionic Communication Router,,1
,ACS1,Airman Certification Standards,FAA pilot testing,1
,ACS2,Audio control system,,1
,ACU1,Air condition unit,,1
,ACU2,Alternator control unit,Protection from alternator over-voltage.,1
,AD,Airworthiness Directive,,1
,ADA,Advisory area,,1
,ADAHRS,Air data attitude heading reference system,,1
,ADC,Air data computer,,1
,ADD,Acceptable deferred defect,,1
,ADF,Automatic direction finder,Navigation equipment,1
,ADI,Attitude Director Indicator,,1
,ADIRS,Air Data Inertial Reference System,,1
,ADIRU,Air Data Inertial Reference Unit,,1
,ADIZ,Air defense identification zone,,1
,ADJ,Adjustment,Mechanical term,1
,ADM1,Aeronautical decision-making,Piloting term of judgment,1
,ADM2,Air data module,,1
,ADN,Aircraft Data Network,Ethernet derivative for Commercial Aircraft,1
,ADS1,Air data system,,1
,ADS2,Automatic dependent surveillance,,1
,ADS-A,Automatic dependent surveillance – address,,1
,ADS-B,Automatic dependent surveillance – broadcast,,1
,ADS-C,Automatic dependent surveillance – contract,,1
,ADV,Arbeitsgemeinschaft Deutscher Verkehrsflughäfen,German Airports Association,1
,AEA,Association of European Airlines,,1
,AESA,Active electronically scanned array,,1
